input,target,prediction
aurobindo,அரோபிந்தோ,ஆரோபின்டோ
pirandhana,பிறந்தன,பிறந்தான
paantvitth,பாண்ட்விட்த்,பாண்டித்த்
payanpaduththavillai,பயன்படுத்தவில்லை,பயன்படுத்திவல்லை
chithiraip,சித்திரைப்,சிறிரைப்
veetak,வேதக்,வீடக்
veettirkuch,வீட்டிற்குச்,வீட்டிற்குச்
seenivasa,சீனிவாச,சீனவசா
siridhalavu,சிறிதளவு,சிறிதவவு
parappazhavai,பரப்பளவை,பறப்பவவை
kaththirukkakudaathu,காத்திருக்ககூடாது,கத்திருக்கபடுடது
magilchchiyaana,மகிழ்ச்சியான,மகிச்சியினான
poarththukkeyar,போர்த்துக்கேயர்,போர்த்துக்கிறே
sambrathaaya,சம்பிரதாய,சம்பர்தாய
grover,க்ரோவர்,க்ராவர்
caaminaathan,சாமிநாதன்,காமினாதன்
kidanta,கிடந்த,கிடன்ட
neethu,நீது,நீது
nirainthirunthanar,நிறைந்திருந்தனர்,நிறைந்திருந்தனர்
vimaanangalum,விமானங்களும்,விமானங்களும்
beaverton,பெவெர்டன்,பீவர்ட்டன்
shipping,ஷிப்பிங்,ஷிப்பிப்
mudivilaa,முடிவிலா,முடிவிலா
eeyaththagadu,ஈயத்தகடு,எயத்தகு
miramar,மிரமர்,மிரமார்
thirumaalin,திருமாலின்,திருமாளின்
nulainthathu,நுழைந்தது,நுலைந்தது
tuurbauu,டர்போ,துற்புற
piranthullathu,பிறந்துள்ளது,பிறந்துள்ளது
nunmai,நுண்மை,நுன்மை
aalosanai,ஆலோசானை,ஆலோசனை
tamizhaiyum,தமிழையும்,தமிழையும்
sarwar,சர்வர்,சர்வர்
piranthapoothu,பிறந்தபோது,பிறந்தபோது
malargalil,மலர்களில்,மலர்களில்
avarkalinaal,அவர்களினால்,அவர்களினால்
becqy,பெக்கி,பாக்ஸ்
vazhangkunar,வழங்குநர்,வழங்குனன்
vaanggappadum,வாங்கப்படும்,வாங்கப்படும்
shores,ஷோர்ஸ்,ஷோர்ச்
siraaj,சிராஜ்,சிராஜ்
